title,organizer,description,location,type,deadline,eligibility,artTypes,prize,link
Arts Projects for Individuals and Groups,Creative Australia,"Funding of between $10,000 and $50,000 for a range of activities and projects, both national and international, across all arts practices.",National,Grant,"2 Sep 2025, 3 pm AEST (MGNSW, Creative Australia)",Individuals/groups; Australian citizens/permanent residents; practicing artists/arts professionals,All disciplines,"Grant AUD 10,000–50,000",https://creative.gov.au/investments-opportunities/arts-projects-individuals-and-groups
Bundanon Artist in Residence Program 2025,Bundanon Trust,"The Artists in Residence program is a pillar of Bundanon, an organisation created to support creativity and learning in a unique cultural and natural landscape.","Shoalhaven, NSW",Residency,Rolling in 2025,"Australian & international visual, performing, literary, environmental artists/researchers",All disciplines,"Accommodation, studio, meals, workspace",https://www.bundanon.com.au/residencies/
Australian Tapestry Workshop Residency 2025,Australian Tapestry Workshop,"The ATW offers artists and craftspeople working with textiles the chance to broaden their practice in our world-renowned residency program. Each year, Artists in Residence immerse themselves in our vibrant studio – exchanging knowledge and skills with our tapestry weavers and engaging with local communities through the exhibition of their works, artist talks and workshops.","Melbourne, VIC",Residency,Applications open for 2025,Artists/craftspeople working in textiles or textile techniques,"Textile arts, fibre, craft","Studio, mentorship, exhibition opportunity",https://www.austapestry.com.au/2025AIR
The Farm Margaret River Residency 2026,The Farm Margaret River / Res Artis,"A leading Arts Residency program in Western Australia, offering a unique opportunity for artists to develop work that engages thoughtfully with the land. With a specific focus on site-responsive projects, the Residency provides an immersive space for creative inquiry, fostering connections between the artist(s), environment, and community. It supports artists who are committed to rigorous research, experimentation, and dialogue—encouraging new ways of thinking about land and our relationship to it .",WA,Residency,"June 2, 2025","Local, national & international artists engaging with land and ecology",Visual and land-based art,"Travel, accommodation, materials, exhibition",https://www.thefarmmargaretriver.com.au/residency
Scene Shift Residency,Cad Factory & Brand X,The Cad Factory (Narrandera) and Brand X (Sydney) are committed to a rural and urban flow of artistic exchange and learning. This residency program gives a regional artist studio space in the Sydney CBD and gives a Sydney artist studio space in rural NSW.,NSW,Residency,7 Aug 2025,NSW regional & metro artists,Multi-disciplinary including performance,"Residency, studio, network support",https://artsoutwest.org.au/scene-shift-residency-program/
Sauerbier House Residency,City of Onkaparinga,"Expressions of interest are now open for practicing contemporary  artists to apply to undertake a supported site responsive studio-based residency at Sauerbier House in the beautiful coastal township of Port Noarlunga. Sauerbier House is located on Kaurna Yerta (Kaurna Country), south of Adelaide, South Australia.  The Sauerbier House residency is an established program aimed to foster and support the professional development of contemporary arts practice while responding to the City of Onkaparinga.

",SA,Residency,4 Sep 2025,"Practicing contemporary visual artists, site-responsive",Visual arts,Local residency support,https://www.onkaparingacity.com/Arts-events-tourism/Arts/Artist-opportunities#section-3
Billilla Artists Studio Program,Bayside City Council,"The Program offers free studio space and supports artists from diverse practices and across career stages. Located on the grounds of the historic Billilla Gardens in Brighton, the program provides an opportunity for artists to connect with the Bayside community through public programs as well as develop their practice without the financial pressure of paying studio rent.

",VIC,Residency/Studio,29 Aug 2025 17:00,Practicing visual artists,Visual arts,Studio access at Billilla,https://www.bayside.vic.gov.au/billilla-artists-studio-program-applications-now-open-2026
Edenhope Artist Residency,Endehope Artist Residency,"The residency program is open to all types of artists, writers, scientists, makers, designers, and educators looking for time and space to work on their own projects in an open-plan studio space. Activities held at EAR include workshops open to the local community, artist talks, and pop-up exhibitions and performances. EAR aims to engage international and local Australian artists interested in experiencing a new location with stays of 2 weeks or between 1 and 3 months.

","Edenhope, VIC",Residency,31 Jul 2026,"Artists, scientists, designers",All creative disciplines,"Accommodation, studio space",https://edenhopeartistresidency.com.au/
BigCi Environmental Awards 2025,Hill End ABC / BigCi,"Two Winners of the Awards will each receive (4) free weeks of BigCi residency and $5,000 prize money.
",NSW/Regional,Exhibition Call,24 Aug 2025,Visual artists with environmental works,"Photography, multimedia, visual arts",Two residencies for winners,https://bigci.org/awards/
Head On Photo Awards 2025,Head On Foundation,"The Head On Photo Awards represent a global selection of the best work from emerging and established photographers across three categories: Portrait, Landscape, Exposure

The Head On Portrait, Landscape and Exposure Awards are open INTERNATIONALLY to photographers of all levels.",Sydney (national entries),Photography Prize,3 Aug 2025,Australian & Torres Strait Islander photographers,Photography,"Prize pool > AUD 75,000",https://headon.org.au/awards
